id,cat,lvl,q,A,B,C,D,answer,explain
r160,religion,2,,,,,,,
r161,religion,2,,,,,,,
r162,religion,2,,,,,,,
r163,religion,2,,,,,,,
r164,religion,2,,,,,,,
r165,religion,2,,,,,,,
r166,religion,2,,,,,,,
r167,religion,2,,,,,,,
r168,religion,2,,,,,,,
r169,religion,2,,,,,,,
r170,religion,2,,,,,,,
r171,religion,2,,,,,,,
r172,religion,2,,,,,,,
r173,religion,2,,,,,,,
r174,religion,2,,,,,,,
r175,religion,2,,,,,,,
r176,religion,2,,,,,,,
r177,religion,2,,,,,,,
r178,religion,2,,,,,,,
r179,religion,2,,,,,,,
r180,religion,2,,,,,,,
r181,religion,2,,,,,,,
r182,religion,2,,,,,,,
r183,religion,2,,,,,,,
r184,religion,2,,,,,,,
r185,religion,2,,,,,,,
r186,religion,2,,,,,,,
r187,religion,2,,,,,,,
r188,religion,2,,,,,,,
r189,religion,2,,,,,,,
r190,religion,2,,,,,,,
r191,religion,2,,,,,,,
r192,religion,2,,,,,,,
r193,religion,2,,,,,,,
r194,religion,2,,,,,,,
r195,religion,2,,,,,,,
r196,religion,2,,,,,,,
r197,religion,2,,,,,,,
r198,religion,2,,,,,,,
r199,religion,2,,,,,,,
r200,religion,2,,,,,,,
r201,religion,3,,,,,,,
r202,religion,3,,,,,,,
r203,religion,3,,,,,,,
r204,religion,3,,,,,,,
r205,religion,3,,,,,,,
r206,religion,3,,,,,,,
r207,religion,3,,,,,,,
r208,religion,3,,,,,,,
r209,religion,3,,,,,,,
r210,religion,3,,,,,,,
r211,religion,3,,,,,,,
r212,religion,3,,,,,,,
r213,religion,3,,,,,,,
r214,religion,3,,,,,,,
r215,religion,3,,,,,,,
r216,religion,3,,,,,,,
r217,religion,3,,,,,,,
r218,religion,3,,,,,,,
r219,religion,3,,,,,,,
r220,religion,3,,,,,,,
r221,religion,3,,,,,,,
r222,religion,3,,,,,,,
r223,religion,3,,,,,,,
r224,religion,3,,,,,,,
r225,religion,3,,,,,,,
r226,religion,3,,,,,,,
r227,religion,3,,,,,,,
r228,religion,3,,,,,,,
r229,religion,3,,,,,,,
r230,religion,3,,,,,,,
r231,religion,3,,,,,,,
r232,religion,3,,,,,,,
r233,religion,3,,,,,,,
r234,religion,3,,,,,,,
r235,religion,3,,,,,,,
r236,religion,3,,,,,,,
r237,religion,3,,,,,,,
r238,religion,3,,,,,,,
r239,religion,3,,,,,,,
r240,religion,3,,,,,,,
r241,religion,3,,,,,,,
r242,religion,3,,,,,,,
r243,religion,3,,,,,,,
r244,religion,3,,,,,,,
r245,religion,3,,,,,,,
r246,religion,3,,,,,,,
r247,religion,3,,,,,,,
r248,religion,3,,,,,,,
r249,religion,3,,,,,,,
r250,religion,3,,,,,,,
g001,general,1,,,,,,,
g002,general,1,,,,,,,
g003,general,1,,,,,,,
g004,general,1,,,,,,,
g005,general,1,,,,,,,
g006,general,1,,,,,,,
g007,general,1,,,,,,,
g008,general,1,,,,,,,
g009,general,1,,,,,,,
g010,general,1,,,,,,,
g011,general,1,,,,,,,
g012,general,1,,,,,,,
g013,general,1,,,,,,,
g014,general,1,,,,,,,
g015,general,1,,,,,,,
g016,general,1,,,,,,,
g017,general,1,,,,,,,
g018,general,1,,,,,,,
g019,general,1,,,,,,,
g020,general,1,,,,,,,
g021,general,1,,,,,,,
g022,general,1,,,,,,,
g023,general,1,,,,,,,
g024,general,1,,,,,,,
g025,general,1,,,,,,,
g026,general,1,,,,,,,
g027,general,1,,,,,,,
g028,general,1,,,,,,,
g029,general,1,,,,,,,
g030,general,1,,,,,,,
g031,general,1,,,,,,,
g032,general,1,,,,,,,
g033,general,1,,,,,,,
g034,general,1,,,,,,,
g035,general,1,,,,,,,
g036,general,1,,,,,,,
g037,general,1,,,,,,,
g038,general,1,,,,,,,
g039,general,1,,,,,,,
g040,general,1,,,,,,,
g041,general,1,,,,,,,
g042,general,1,,,,,,,
g043,general,1,,,,,,,
g044,general,1,,,,,,,
g045,general,1,,,,,,,
g046,general,1,,,,,,,
g047,general,1,,,,,,,
g048,general,1,,,,,,,
g049,general,1,,,,,,,
g050,general,1,,,,,,,
g051,general,1,,,,,,,
g052,general,1,,,,,,,
g053,general,1,,,,,,,
g054,general,1,,,,,,,
g055,general,1,,,,,,,
g056,general,1,,,,,,,
g057,general,1,,,,,,,
g058,general,1,,,,,,,
g059,general,1,,,,,,,
g060,general,1,,,,,,,
g061,general,1,,,,,,,
g062,general,1,,,,,,,
g063,general,1,,,,,,,
g064,general,1,,,,,,,
g065,general,1,,,,,,,
g066,general,1,,,,,,,
g067,general,1,,,,,,,
g068,general,1,,,,,,,
g069,general,1,,,,,,,
g070,general,1,,,,,,,
g071,general,1,,,,,,,
g072,general,1,,,,,,,
g073,general,1,,,,,,,
g074,general,1,,,,,,,
g075,general,1,,,,,,,
g076,general,1,,,,,,,
g077,general,1,,,,,,,
g078,general,1,,,,,,,
g079,general,1,,,,,,,
g080,general,1,,,,,,,
g081,general,1,,,,,,,
g082,general,1,,,,,,,
g083,general,1,,,,,,,
g084,general,1,,,,,,,
g085,general,1,,,,,,,
g086,general,1,,,,,,,
g087,general,1,,,,,,,
g088,general,1,,,,,,,
g089,general,1,,,,,,,
g090,general,1,,,,,,,
g091,general,1,,,,,,,
g092,general,1,,,,,,,
g093,general,1,,,,,,,
g094,general,1,,,,,,,
g095,general,1,,,,,,,
g096,general,1,,,,,,,
g097,general,1,,,,,,,
g098,general,1,,,,,,,
g099,general,1,,,,,,,
g100,general,1,,,,,,,
g101,general,2,,,,,,,
g102,general,2,,,,,,,
g103,general,2,,,,,,,
g104,general,2,,,,,,,
g105,general,2,,,,,,,
g106,general,2,,,,,,,
g107,general,2,,,,,,,
g108,general,2,,,,,,,
g109,general,2,,,,,,,
g110,general,2,,,,,,,
g111,general,2,,,,,,,
g112,general,2,,,,,,,
g113,general,2,,,,,,,
g114,general,2,,,,,,,
g115,general,2,,,,,,,
g116,general,2,,,,,,,
g117,general,2,,,,,,,
g118,general,2,,,,,,,
g119,general,2,,,,,,,
g120,general,2,,,,,,,
g121,general,2,,,,,,,
g122,general,2,,,,,,,
g123,general,2,,,,,,,
g124,general,2,,,,,,,
g125,general,2,,,,,,,
g126,general,2,,,,,,,
g127,general,2,,,,,,,
g128,general,2,,,,,,,
g129,general,2,,,,,,,
g130,general,2,,,,,,,
g131,general,2,,,,,,,
g132,general,2,,,,,,,
g133,general,2,,,,,,,
g134,general,2,,,,,,,
g135,general,2,,,,,,,
g136,general,2,,,,,,,
g137,general,2,,,,,,,
g138,general,2,,,,,,,
g139,general,2,,,,,,,
g140,general,2,,,,,,,
g141,general,2,,,,,,,
g142,general,2,,,,,,,
g143,general,2,,,,,,,
g144,general,2,,,,,,,
g145,general,2,,,,,,,
g146,general,2,,,,,,,
g147,general,2,,,,,,,
g148,general,2,,,,,,,
g149,general,2,,,,,,,
g150,general,2,,,,,,,
g151,general,2,,,,,,,
g152,general,2,,,,,,,
g153,general,2,,,,,,,
g154,general,2,,,,,,,
g155,general,2,,,,,,,
g156,general,2,,,,,,,
g157,general,2,,,,,,,
g158,general,2,,,,,,,
g159,general,2,,,,,,,
g160,general,2,,,,,,,
g161,general,2,,,,,,,
g162,general,2,,,,,,,
g163,general,2,,,,,,,
g164,general,2,,,,,,,
g165,general,2,,,,,,,
g166,general,2,,,,,,,
g167,general,2,,,,,,,
g168,general,2,,,,,,,
g169,general,2,,,,,,,
g170,general,2,,,,,,,
g171,general,2,,,,,,,
g172,general,2,,,,,,,
g173,general,2,,,,,,,
g174,general,2,,,,,,,
g175,general,2,,,,,,,
g176,general,2,,,,,,,
g177,general,2,,,,,,,
g178,general,2,,,,,,,
g179,general,2,,,,,,,
g180,general,2,,,,,,,
g181,general,2,,,,,,,
g182,general,2,,,,,,,
g183,general,2,,,,,,,
g184,general,2,,,,,,,
g185,general,2,,,,,,,
g186,general,2,,,,,,,
g187,general,2,,,,,,,
g188,general,2,,,,,,,
g189,general,2,,,,,,,
g190,general,2,,,,,,,
g191,general,2,,,,,,,
g192,general,2,,,,,,,
g193,general,2,,,,,,,
g194,general,2,,,,,,,
g195,general,2,,,,,,,
g196,general,2,,,,,,,
g197,general,2,,,,,,,
g198,general,2,,,,,,,
g199,general,2,,,,,,,
g200,general,2,,,,,,,
g201,general,3,,,,,,,
g202,general,3,,,,,,,
g203,general,3,,,,,,,
g204,general,3,,,,,,,
g205,general,3,,,,,,,
g206,general,3,,,,,,,
g207,general,3,,,,,,,
g208,general,3,,,,,,,
g209,general,3,,,,,,,
g210,general,3,,,,,,,
g211,general,3,,,,,,,
g212,general,3,,,,,,,
g213,general,3,,,,,,,
g214,general,3,,,,,,,
g215,general,3,,,,,,,
g216,general,3,,,,,,,
g217,general,3,,,,,,,
g218,general,3,,,,,,,
g219,general,3,,,,,,,
g220,general,3,,,,,,,
g221,general,3,,,,,,,
g222,general,3,,,,,,,
g223,general,3,,,,,,,
g224,general,3,,,,,,,
g225,general,3,,,,,,,
g226,general,3,,,,,,,
g227,general,3,,,,,,,
g228,general,3,,,,,,,
g229,general,3,,,,,,,
g230,general,3,,,,,,,
g231,general,3,,,,,,,
g232,general,3,,,,,,,
g233,general,3,,,,,,,
g234,general,3,,,,,,,
g235,general,3,,,,,,,
g236,general,3,,,,,,,
g237,general,3,,,,,,,
g238,general,3,,,,,,,
g239,general,3,,,,,,,
g240,general,3,,,,,,,
g241,general,3,,,,,,,
g242,general,3,,,,,,,
g243,general,3,,,,,,,
g244,general,3,,,,,,,
g245,general,3,,,,,,,
g246,general,3,,,,,,,
g247,general,3,,,,,,,
g248,general,3,,,,,,,
g249,general,3,,,,,,,
g250,general,3,,,,,,,
l001,logic,1,,,,,,,
l002,logic,1,,,,,,,
l003,logic,1,,,,,,,
l004,logic,1,,,,,,,
l005,logic,1,,,,,,,
l006,logic,1,,,,,,,
l007,logic,1,,,,,,,
l008,logic,1,,,,,,,
l009,logic,1,,,,,,,
l010,logic,1,,,,,,,
l011,logic,1,,,,,,,
l012,logic,1,,,,,,,
l013,logic,1,,,,,,,
l014,logic,1,,,,,,,
l015,logic,1,,,,,,,
l016,logic,1,,,,,,,
l017,logic,1,,,,,,,
l018,logic,1,,,,,,,
l019,logic,1,,,,,,,
l020,logic,1,,,,,,,
l021,logic,1,,,,,,,
l022,logic,1,,,,,,,
l023,logic,1,,,,,,,
l024,logic,1,,,,,,,
l025,logic,1,,,,,,,
l026,logic,1,,,,,,,
l027,logic,1,,,,,,,
l028,logic,1,,,,,,,
l029,logic,1,,,,,,,
l030,logic,1,,,,,,,
l031,logic,1,,,,,,,
l032,logic,1,,,,,,,
l033,logic,1,,,,,,,
l034,logic,1,,,,,,,
l035,logic,1,,,,,,,
l036,logic,1,,,,,,,
l037,logic,1,,,,,,,
l038,logic,1,,,,,,,
l039,logic,1,,,,,,,
l040,logic,1,,,,,,,
l041,logic,1,,,,,,,
l042,logic,1,,,,,,,
l043,logic,1,,,,,,,
l044,logic,1,,,,,,,
l045,logic,1,,,,,,,
l046,logic,1,,,,,,,
l047,logic,1,,,,,,,
l048,logic,1,,,,,,,
l049,logic,1,,,,,,,
l050,logic,1,,,,,,,
l051,logic,1,,,,,,,
l052,logic,1,,,,,,,
l053,logic,1,,,,,,,
l054,logic,1,,,,,,,
l055,logic,1,,,,,,,
l056,logic,1,,,,,,,
l057,logic,1,,,,,,,
l058,logic,1,,,,,,,
l059,logic,1,,,,,,,
l060,logic,1,,,,,,,
l061,logic,1,,,,,,,
l062,logic,1,,,,,,,
l063,logic,1,,,,,,,
l064,logic,1,,,,,,,
l065,logic,1,,,,,,,
l066,logic,1,,,,,,,
l067,logic,1,,,,,,,
l068,logic,1,,,,,,,
l069,logic,1,,,,,,,
l070,logic,1,,,,,,,
l071,logic,1,,,,,,,
l072,logic,1,,,,,,,
l073,logic,1,,,,,,,
l074,logic,1,,,,,,,
l075,logic,1,,,,,,,
l076,logic,1,,,,,,,
l077,logic,1,,,,,,,
l078,logic,1,,,,,,,
l079,logic,1,,,,,,,
l080,logic,1,,,,,,,
l081,logic,1,,,,,,,
l082,logic,1,,,,,,,
l083,logic,1,,,,,,,
l084,logic,1,,,,,,,
l085,logic,1,,,,,,,
l086,logic,1,,,,,,,
l087,logic,1,,,,,,,
l088,logic,1,,,,,,,
l089,logic,1,,,,,,,
l090,logic,1,,,,,,,
l091,logic,1,,,,,,,
l092,logic,1,,,,,,,
l093,logic,1,,,,,,,
l094,logic,1,,,,,,,
l095,logic,1,,,,,,,
l096,logic,1,,,,,,,
l097,logic,1,,,,,,,
l098,logic,1,,,,,,,
l099,logic,1,,,,,,,
l100,logic,1,,,,,,,
l101,logic,2,,,,,,,
l102,logic,2,,,,,,,
l103,logic,2,,,,,,,
l104,logic,2,,,,,,,
l105,logic,2,,,,,,,
l106,logic,2,,,,,,,
l107,logic,2,,,,,,,
l108,logic,2,,,,,,,
l109,logic,2,,,,,,,
l110,logic,2,,,,,,,
l111,logic,2,,,,,,,
l112,logic,2,,,,,,,
l113,logic,2,,,,,,,
l114,logic,2,,,,,,,
l115,logic,2,,,,,,,
l116,logic,2,,,,,,,
l117,logic,2,,,,,,,
l118,logic,2,,,,,,,
l119,logic,2,,,,,,,
l120,logic,2,,,,,,,
l121,logic,2,,,,,,,
l122,logic,2,,,,,,,
l123,logic,2,,,,,,,
l124,logic,2,,,,,,,
l125,logic,2,,,,,,,
l126,logic,2,,,,,,,
l127,logic,2,,,,,,,
l128,logic,2,,,,,,,
l129,logic,2,,,,,,,
l130,logic,2,,,,,,,
l131,logic,2,,,,,,,
l132,logic,2,,,,,,,
l133,logic,2,,,,,,,
l134,logic,2,,,,,,,
l135,logic,2,,,,,,,
l136,logic,2,,,,,,,
l137,logic,2,,,,,,,
l138,logic,2,,,,,,,
l139,logic,2,,,,,,,
l140,logic,2,,,,,,,
l141,logic,2,,,,,,,
l142,logic,2,,,,,,,
l143,logic,2,,,,,,,
l144,logic,2,,,,,,,
l145,logic,2,,,,,,,
l146,logic,2,,,,,,,
l147,logic,2,,,,,,,
l148,logic,2,,,,,,,
l149,logic,2,,,,,,,
l150,logic,2,,,,,,,
l151,logic,2,,,,,,,
l152,logic,2,,,,,,,
l153,logic,2,,,,,,,
l154,logic,2,,,,,,,
l155,logic,2,,,,,,,
l156,logic,2,,,,,,,
l157,logic,2,,,,,,,
l158,logic,2,,,,,,,
l159,logic,2,,,,,,,
l160,logic,2,,,,,,,
l161,logic,2,,,,,,,
l162,logic,2,,,,,,,
l163,logic,2,,,,,,,
l164,logic,2,,,,,,,
l165,logic,2,,,,,,,
l166,logic,2,,,,,,,
l167,logic,2,,,,,,,
l168,logic,2,,,,,,,
l169,logic,2,,,,,,,
l170,logic,2,,,,,,,
l171,logic,2,,,,,,,
l172,logic,2,,,,,,,
l173,logic,2,,,,,,,
l174,logic,2,,,,,,,
l175,logic,2,,,,,,,
l176,logic,2,,,,,,,
l177,logic,2,,,,,,,
l178,logic,2,,,,,,,
l179,logic,2,,,,,,,
l180,logic,2,,,,,,,
l181,logic,2,,,,,,,
l182,logic,2,,,,,,,
l183,logic,2,,,,,,,
l184,logic,2,,,,,,,
l185,logic,2,,,,,,,
l186,logic,2,,,,,,,
l187,logic,2,,,,,,,
l188,logic,2,,,,,,,
l189,logic,2,,,,,,,
l190,logic,2,,,,,,,
l191,logic,2,,,,,,,
l192,logic,2,,,,,,,
l193,logic,2,,,,,,,
l194,logic,2,,,,,,,
l195,logic,2,,,,,,,
l196,logic,2,,,,,,,
l197,logic,2,,,,,,,
l198,logic,2,,,,,,,
l199,logic,2,,,,,,,
l200,logic,2,,,,,,,
l201,logic,3,,,,,,,
l202,logic,3,,,,,,,
l203,logic,3,,,,,,,
l204,logic,3,,,,,,,
l205,logic,3,,,,,,,
l206,logic,3,,,,,,,
l207,logic,3,,,,,,,
l208,logic,3,,,,,,,
l209,logic,3,,,,,,,
l210,logic,3,,,,,,,
l211,logic,3,,,,,,,
l212,logic,3,,,,,,,
l213,logic,3,,,,,,,
l214,logic,3,,,,,,,
l215,logic,3,,,,,,,
l216,logic,3,,,,,,,
l217,logic,3,,,,,,,
l218,logic,3,,,,,,,
l219,logic,3,,,,,,,
l220,logic,3,,,,,,,
l221,logic,3,,,,,,,
l222,logic,3,,,,,,,
l223,logic,3,,,,,,,
l224,logic,3,,,,,,,
l225,logic,3,,,,,,,
l226,logic,3,,,,,,,
l227,logic,3,,,,,,,
l228,logic,3,,,,,,,
l229,logic,3,,,,,,,
l230,logic,3,,,,,,,
l231,logic,3,,,,,,,
l232,logic,3,,,,,,,
l233,logic,3,,,,,,,
l234,logic,3,,,,,,,
l235,logic,3,,,,,,,
l236,logic,3,,,,,,,
l237,logic,3,,,,,,,
l238,logic,3,,,,,,,
l239,logic,3,,,,,,,
l240,logic,3,,,,,,,
l241,logic,3,,,,,,,
l242,logic,3,,,,,,,
l243,logic,3,,,,,,,
l244,logic,3,,,,,,,
l245,logic,3,,,,,,,
l246,logic,3,,,,,,,
l247,logic,3,,,,,,,
l248,logic,3,,,,,,,
l249,logic,3,,,,,,,
l250,logic,3,,,,,,,
e001,education,1,,,,,,,
e002,education,1,,,,,,,
e003,education,1,,,,,,,
e004,education,1,,,,,,,
e005,education,1,,,,,,,
e006,education,1,,,,,,,
e007,education,1,,,,,,,
e008,education,1,,,,,,,
e009,education,1,,,,,,,
e010,education,1,,,,,,,
e011,education,1,,,,,,,
e012,education,1,,,,,,,
e013,education,1,,,,,,,
e014,education,1,,,,,,,
e015,education,1,,,,,,,
e016,education,1,,,,,,,
e017,education,1,,,,,,,
e018,education,1,,,,,,,
e019,education,1,,,,,,,
e020,education,1,,,,,,,
e021,education,1,,,,,,,
e022,education,1,,,,,,,
e023,education,1,,,,,,,
e024,education,1,,,,,,,
e025,education,1,,,,,,,
e026,education,1,,,,,,,
e027,education,1,,,,,,,
e028,education,1,,,,,,,
e029,education,1,,,,,,,
e030,education,1,,,,,,,
e031,education,1,,,,,,,
e032,education,1,,,,,,,
e033,education,1,,,,,,,
e034,education,1,,,,,,,
e035,education,1,,,,,,,
e036,education,1,,,,,,,
e037,education,1,,,,,,,
e038,education,1,,,,,,,
e039,education,1,,,,,,,
e040,education,1,,,,,,,
e041,education,1,,,,,,,
e042,education,1,,,,,,,
e043,education,1,,,,,,,
e044,education,1,,,,,,,
e045,education,1,,,,,,,
e046,education,1,,,,,,,
e047,education,1,,,,,,,
e048,education,1,,,,,,,
e049,education,1,,,,,,,
e050,education,1,,,,,,,
e051,education,1,,,,,,,
e052,education,1,,,,,,,
e053,education,1,,,,,,,
e054,education,1,,,,,,,
e055,education,1,,,,,,,
e056,education,1,,,,,,,
e057,education,1,,,,,,,
e058,education,1,,,,,,,
e059,education,1,,,,,,,
e060,education,1,,,,,,,
e061,education,1,,,,,,,
e062,education,1,,,,,,,
e063,education,1,,,,,,,
e064,education,1,,,,,,,
e065,education,1,,,,,,,
e066,education,1,,,,,,,
e067,education,1,,,,,,,
e068,education,1,,,,,,,
e069,education,1,,,,,,,
e070,education,1,,,,,,,
e071,education,1,,,,,,,
e072,education,1,,,,,,,
e073,education,1,,,,,,,
e074,education,1,,,,,,,
e075,education,1,,,,,,,
e076,education,1,,,,,,,
e077,education,1,,,,,,,
e078,education,1,,,,,,,
e079,education,1,,,,,,,
e080,education,1,,,,,,,
e081,education,1,,,,,,,
e082,education,1,,,,,,,
e083,education,1,,,,,,,
e084,education,1,,,,,,,
e085,education,1,,,,,,,
e086,education,1,,,,,,,
e087,education,1,,,,,,,
e088,education,1,,,,,,,
e089,education,1,,,,,,,
e090,education,1,,,,,,,
e091,education,1,,,,,,,
e092,education,1,,,,,,,
e093,education,1,,,,,,,
e094,education,1,,,,,,,
e095,education,1,,,,,,,
e096,education,1,,,,,,,
e097,education,1,,,,,,,
e098,education,1,,,,,,,
e099,education,1,,,,,,,
e100,education,1,,,,,,,
e101,education,2,,,,,,,
e102,education,2,,,,,,,
e103,education,2,,,,,,,
e104,education,2,,,,,,,
e105,education,2,,,,,,,
e106,education,2,,,,,,,
e107,education,2,,,,,,,
e108,education,2,,,,,,,
e109,education,2,,,,,,,
e110,education,2,,,,,,,
e111,education,2,,,,,,,
e112,education,2,,,,,,,
e113,education,2,,,,,,,
e114,education,2,,,,,,,
e115,education,2,,,,,,,
e116,education,2,,,,,,,
e117,education,2,,,,,,,
e118,education,2,,,,,,,
e119,education,2,,,,,,,
e120,education,2,,,,,,,
e121,education,2,,,,,,,
e122,education,2,,,,,,,
e123,education,2,,,,,,,
e124,education,2,,,,,,,
e125,education,2,,,,,,,
e126,education,2,,,,,,,
e127,education,2,,,,,,,
e128,education,2,,,,,,,
e129,education,2,,,,,,,
e130,education,2,,,,,,,
e131,education,2,,,,,,,
e132,education,2,,,,,,,
e133,education,2,,,,,,,
e134,education,2,,,,,,,
e135,education,2,,,,,,,
e136,education,2,,,,,,,
e137,education,2,,,,,,,
e138,education,2,,,,,,,
e139,education,2,,,,,,,
e140,education,2,,,,,,,
e141,education,2,,,,,,,
e142,education,2,,,,,,,
e143,education,2,,,,,,,
e144,education,2,,,,,,,
e145,education,2,,,,,,,
e146,education,2,,,,,,,
e147,education,2,,,,,,,
e148,education,2,,,,,,,
e149,education,2,,,,,,,
e150,education,2,,,,,,,
e151,education,2,,,,,,,
e152,education,2,,,,,,,
e153,education,2,,,,,,,
e154,education,2,,,,,,,
e155,education,2,,,,,,,
e156,education,2,,,,,,,
e157,education,2,,,,,,,
e158,education,2,,,,,,,
e159,education,2,,,,,,,
e160,education,2,,,,,,,
e161,education,2,,,,,,,
e162,education,2,,,,,,,
e163,education,2,,,,,,,
e164,education,2,,,,,,,
e165,education,2,,,,,,,
e166,education,2,,,,,,,
e167,education,2,,,,,,,
e168,education,2,,,,,,,
e169,education,2,,,,,,,
e170,education,2,,,,,,,
e171,education,2,,,,,,,
e172,education,2,,,,,,,
e173,education,2,,,,,,,
e174,education,2,,,,,,,
e175,education,2,,,,,,,
e176,education,2,,,,,,,
e177,education,2,,,,,,,
e178,education,2,,,,,,,
e179,education,2,,,,,,,
e180,education,2,,,,,,,
e181,education,2,,,,,,,
e182,education,2,,,,,,,
e183,education,2,,,,,,,
e184,education,2,,,,,,,
e185,education,2,,,,,,,
e186,education,2,,,,,,,
e187,education,2,,,,,,,
e188,education,2,,,,,,,
e189,education,2,,,,,,,
e190,education,2,,,,,,,
e191,education,2,,,,,,,
e192,education,2,,,,,,,
e193,education,2,,,,,,,
e194,education,2,,,,,,,
e195,education,2,,,,,,,
e196,education,2,,,,,,,
e197,education,2,,,,,,,
e198,education,2,,,,,,,
e199,education,2,,,,,,,
e200,education,2,,,,,,,
e201,education,3,,,,,,,
e202,education,3,,,,,,,
e203,education,3,,,,,,,
e204,education,3,,,,,,,
e205,education,3,,,,,,,
e206,education,3,,,,,,,
e207,education,3,,,,,,,
e208,education,3,,,,,,,
e209,education,3,,,,,,,
e210,education,3,,,,,,,
